31	99963	55194	74800	134	99679	55274	18006	299	99620	53536	86191	480	99483	30934	54311
833	99458	94975	49290	1122	99251	92542	31860	1164	99107	95702	86078	1185	99065	6588	53244
1230	98635	88005	54251	1579	98613	90315	8816	1683	98527	45758	31088	1852	98442	13934	57281
2064	98408	96722	33291	2149	98370	34623	51386	2190	98224	75082	57678	2288	98090	84988	45990
2298	97926	18432	32278	2495	97903	90788	45168	2555	97808	83218	15048	2729	97653	82188	16403
2755	97610	6661	19713	2762	97488	53855	28491	2773	97351	35605	53217	2858	97307	87926	21740
2886	97082	59146	55450	2928	97081	20181	59501	2984	97024	74851	68106	3048	96449	37844	26218
3066	96360	9604	94946	3079	96324	91499	40887	3106	96307	35338	79383	3183	96293	23499	38613
3194	96194	22631	45485	3208	96181	77987	63967	3323	96173	71167	32239	3329	95935	31683	12890
3331	95886	84333	65498	3466	95866	27949	58843	3616	95678	81505	35188	3742	95354	44409	18812
3784	95050	5399	54388	3823	95008	88721	6045	4069	94708	49170	68844	4170	94661	93487	32604
4282	94481	59377	14992	4381	94204	53002	53685	4493	94146	74684	28877	4502	93853	62083	33474
4695	93635	68488	34974	4927	93593	28311	25293	4998	93498	74244	8390	5164	93477	48891	45070
5319	93305	55109	31732	5367	93270	79777	87024	5510	93231	92828	45927	5560	93224	65692	25009
5562	93126	13849	64992	5586	93063	35249	45987	5707	92972	36646	7192	6061	92943	92152	30235
6171	92676	55482	19802	6172	92632	51177	75750	6316	92462	62202	51338	6482	91660	42187	26848
6677	91551	75972	69218	6732	91505	8395	33455	6941	91453	44478	88156	7006	91415	84992	21676
7216	91224	61012	34645	7245	91141	21724	69387	7392	90917	71338	7567	7733	90617	34463	87801
7962	90356	51607	27950	8057	90265	50909	56903	8647	90145	13284	59265	8704	89986	51055	39461
9310	88771	82509	72392	9904	88746	35226	63537	9992	88670	38507	54177	10027	88644	24416	78854
10199	88439	20748	76303	10228	88177	69547	71571	10405	88077	56332	15792	10498	88049	78783	14348
10666	87856	70562	44246	10715	87579	29243	58910	10810	87449	86403	73784	10882	87224	20326	79472
11117	87220	55450	38769	11236	86968	34891	14965	11600	86864	66350	27232	11680	86843	56572	18702
11725	86651	21055	75468	11823	86309	64372	47616	12138	86173	21875	18070	12235	86065	45980	42321
12403	86059	45726	19304	12446	85786	76004	18618	12518	85764	79205	32930	12558	85454	30489	52161
12643	85435	55837	13409	12782	85405	55877	79282	12826	85154	64860	38413	12859	84866	31054	70202
12878	84865	47610	80900	12944	84740	84733	70037	13018	84635	48941	54266	13102	84588	49323	26427
13166	84567	26748	79630	13399	84277	24866	18637	13461	84253	71656	75265	13781	83900	62645	19142
13852	83888	69548	22857	14114	83723	22461	71379	14264	83605	64372	70653	14406	83101	61944	58877
14410	82971	31018	79613	14422	82318	50551	50065	14751	82263	25373	78373	14830	81287	53830	60124
14865	81155	58531	23757	15223	81146	74820	21292	15485	81078	74168	72096	15629	81008	44571	34169
16043	80542	66955	59332	16064	80455	74195	68693	16382	80021	75830	50288	16583	79958	64975	61463
16708	79247	43896	71630	16710	79048	33023	55806	16863	78746	23229	18668	16978	78375	51618	17061
17056	77867	32130	29073	17451	77691	28690	39069	17584	77515	63162	76022	18550	77438	20212	27510
18834	77160	69162	26210	19150	76907	70761	70485	19322	76824	32530	28704	19510	76419	27159	23292
19890	75917	60119	72081	19916	75474	70210	38529	20918	75455	70129	66263	20961	75360	62942	22164
20965	75338	34961	39366	21489	74923	24829	73064	21493	74906	74211	74081	21518	74850	56987	42507
21653	74526	44263	23793	22900	74023	42456	36780	22923	73241	68451	72218	23171	72960	34339	31564
23296	72944	53624	35858	23509	72366	54422	35600	24063	72350	63546	69626	24110	72051	45908	41457
24125	71841	41316	41792	24355	71580	52522	49856	24440	71260	69537	69165	24643	71145	69720	59653
24738	71066	63310	31565	24797	70924	35172	67185	24798	70853	27178	32295	25053	70736	40568	70601
25347	70593	54856	27398	25415	70575	60277	32342	25800	70552	40586	55366	26216	70451	27651	56607
26261	70434	31814	36265	26295	70196	62642	51310	26738	70102	58493	39398	27212	69837	64155	47144
27408	69762	65178	45075	27722	69638	32516	44250	29167	69523	67067	52754	29612	69444	45990	36255
29722	69110	30667	61573	29941	68516	44050	65816	30056	68114	58760	50990	30362	68019	36950	59301
30432	67819	32571	66964	32212	67474	48658	42519	32698	66011	35094	47848	32766	66004	41362	58909
33014	65057	41368	62097	33139	64963	38540	48950	33299	64774	34132	52596	33478	63982	45532	53284
33797	63772	54344	52716	34094	63524	39411	46528	34144	63491	45044	59512	34259	63472	45594	43393
35493	63132	58077	42820	35853	62465	46345	39984	35965	62220	47685	50309	35976	61749	53398	37556
36035	60653	59365	47187	36328	60413	54913	49474	37406	59796	41798	44165	38671	58266	52306	51037
38814	57968	43498	40523	38976	57839	55032	55289	39106	56370	49918	45708	39690	52312	43955	41502
43955	52292	51726	46869	44529	52194	49954	51804	44656	52141	50660	46063	45997	50429	48657	49889
